timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
1717674983415.0,59.0,0.0,27.0,163.0,300.0,131.0
1717674983614.0,35.0,3.0,15.0,196.0,348.0,384.0
1717674983732.0,52.0,4.0,25.0,191.0,316.0,496.0
1717674983770.0,95.0,4.0,24.0,172.0,283.0,524.0
1717674983960.0,140.0,9.0,28.0,159.0,312.0,404.0
1717674984024.0,132.0,7.0,22.0,150.0,323.0,495.0
1717674984038.0,131.0,7.0,22.0,148.0,318.0,487.0
1717674984116.0,153.0,5.0,19.0,145.0,316.0,547.0
1717674984131.0,143.0,4.0,20.0,180.0,318.0,579.0
1717674984148.0,144.0,4.0,19.0,172.0,303.0,543.0
1717674984169.0,199.0,3.0,18.0,159.0,342.0,497.0
1717674984349.0,227.0,19.0,51.0,248.0,207.0,500.0
1717674984368.0,302.0,19.0,50.0,240.0,208.0,668.0
1717674984386.0,281.0,18.0,48.0,227.0,199.0,635.0
1717674984386.0,275.0,17.0,46.0,223.0,195.0,616.0
1717674984386.0,273.0,17.0,46.0,221.0,194.0,610.0
1717674984408.0,265.0,16.0,45.0,216.0,190.0,585.0
1717674984643.0,184.0,8.0,26.0,193.0,243.0,408.0
1717674984690.0,179.0,7.0,23.0,167.0,211.0,487.0
1717674984736.0,224.0,7.0,19.0,146.0,276.0,404.0
1717674984782.0,184.0,22.0,49.0,191.0,265.0,408.0
1717674984782.0,182.0,22.0,49.0,190.0,263.0,403.0
1717674984886.0,247.0,15.0,35.0,136.0,248.0,608.0
1717674984887.0,243.0,14.0,35.0,135.0,245.0,624.0
1717674984909.0,220.0,19.0,31.0,125.0,294.0,542.0
1717674985116.0,189.0,12.0,39.0,152.0,263.0,419.0
1717674985284.0,165.0,6.0,24.0,187.0,273.0,449.0
1717674985348.0,159.0,5.0,92.0,185.0,332.0,441.0
1717674985349.0,152.0,6.0,88.0,179.0,319.0,422.0
1717674985405.0,219.0,30.0,76.0,199.0,284.0,379.0
1717674985405.0,216.0,29.0,76.0,197.0,297.0,372.0
1717674985453.0,187.0,24.0,66.0,201.0,259.0,323.0
1717674985519.0,189.0,19.0,53.0,178.0,222.0,492.0
1717674985596.0,143.0,44.0,41.0,159.0,335.0,577.0
1717674985711.0,147.0,30.0,30.0,158.0,313.0,423.0
1717674985856.0,179.0,27.0,59.0,176.0,319.0,431.0
1717674985856.0,179.0,27.0,59.0,174.0,317.0,428.0
1717674985899.0,160.0,22.0,49.0,147.0,267.0,436.0
1717674986008.0,169.0,16.0,62.0,159.0,299.0,449.0
1717674986177.0,220.0,12.0,35.0,195.0,311.0,367.0
1717674986284.0,240.0,11.0,30.0,180.0,284.0,350.0
1717674986480.0,214.0,9.0,51.0,149.0,295.0,351.0
1717674986493.0,207.0,9.0,49.0,144.0,285.0,337.0
1717674986541.0,183.0,7.0,44.0,264.0,289.0,299.0
1717674986606.0,222.0,7.0,39.0,209.0,231.0,399.0
1717674986668.0,237.0,9.0,32.0,174.0,270.0,447.0
1717674986668.0,231.0,9.0,31.0,170.0,263.0,432.0
1717674986803.0,195.0,81.0,93.0,179.0,318.0,438.0
1717674986893.0,212.0,60.0,68.0,188.0,440.0,527.0
1717674986956.0,238.0,49.0,56.0,409.0,384.0,619.0
1717674986972.0,225.0,47.0,54.0,382.0,363.0,572.0
1717674987399.0,255.0,27.0,27.0,207.0,287.0,488.0
1717674987458.0,199.0,20.0,22.0,164.0,279.0,374.0
1717674987487.0,188.0,19.0,19.0,251.0,347.0,615.0
1717674987602.0,132.0,21.0,28.0,248.0,345.0,554.0
1717674987749.0,182.0,14.0,19.0,255.0,252.0,515.0
1717674987822.0,205.0,10.0,27.0,230.0,289.0,438.0
1717674988001.0,174.0,21.0,44.0,172.0,264.0,380.0
1717674988094.0,176.0,15.0,43.0,167.0,261.0,551.0
1717674988188.0,131.0,10.0,29.0,149.0,344.0,519.0
1717674988263.0,103.0,14.0,41.0,271.0,308.0,497.0
1717674988293.0,151.0,19.0,38.0,251.0,285.0,499.0
1717674988339.0,216.0,15.0,33.0,259.0,287.0,583.0
1717674988339.0,214.0,15.0,32.0,258.0,286.0,578.0
1717674988356.0,199.0,15.0,31.0,269.0,268.0,531.0
1717674988399.0,240.0,12.0,27.0,231.0,236.0,631.0
1717674988447.0,216.0,11.0,24.0,255.0,216.0,707.0
1717674988479.0,179.0,10.0,20.0,248.0,185.0,545.0
1717674988538.0,153.0,7.0,17.0,302.0,166.0,624.0
1717674988615.0,122.0,22.0,17.0,334.0,272.0,545.0
1717674988633.0,199.0,19.0,46.0,300.0,251.0,668.0
1717674988672.0,177.0,18.0,41.0,268.0,275.0,568.0
1717674988673.0,175.0,17.0,39.0,264.0,271.0,558.0
1717674988753.0,182.0,15.0,35.0,273.0,294.0,441.0
1717674988773.0,157.0,12.0,62.0,236.0,252.0,376.0
1717674988803.0,145.0,12.0,57.0,219.0,233.0,500.0
1717674988899.0,122.0,9.0,42.0,192.0,311.0,496.0
1717674989208.0,164.0,3.0,27.0,182.0,267.0,471.0
1717674989270.0,135.0,5.0,24.0,227.0,265.0,416.0
1717674989355.0,150.0,4.0,49.0,188.0,353.0,393.0
1717674989490.0,201.0,10.0,31.0,216.0,284.0,476.0
1717674989559.0,164.0,8.0,27.0,304.0,235.0,499.0
1717674989738.0,289.0,12.0,74.0,302.0,332.0,779.0
1717674989779.0,260.0,16.0,65.0,265.0,295.0,793.0
1717674989921.0,195.0,10.0,44.0,243.0,291.0,475.0
1717674994428.0,21.0,7.0,49.0,271.0,543.0,367.0
1717674994518.0,17.0,24.0,67.0,279.0,518.0,590.0
1717674994677.0,21.0,37.0,71.0,306.0,472.0,908.0
1717674994701.0,20.0,36.0,70.0,297.0,456.0,907.0
1717674994751.0,163.0,31.0,73.0,255.0,568.0,911.0
1717674994752.0,160.0,29.0,68.0,291.0,511.0,871.0
1717674994997.0,295.0,24.0,67.0,228.0,421.0,776.0
1717674995110.0,284.0,15.0,46.0,177.0,363.0,824.0
1717674995206.0,227.0,22.0,48.0,233.0,315.0,856.0
1717674995352.0,198.0,30.0,46.0,201.0,302.0,497.0
1717674995383.0,184.0,108.0,41.0,209.0,277.0,601.0
1717674995462.0,271.0,89.0,35.0,211.0,275.0,518.0
1717674995463.0,255.0,86.0,34.0,199.0,259.0,483.0
1717674995589.0,281.0,135.0,46.0,268.0,312.0,604.0
1717674995644.0,216.0,174.0,35.0,304.0,411.0,632.0
1717674995913.0,175.0,112.0,56.0,243.0,376.0,541.0
1717674996097.0,159.0,127.0,31.0,259.0,316.0,471.0
1717674996726.0,240.0,97.0,28.0,174.0,327.0,496.0
1717674996903.0,159.0,72.0,23.0,272.0,391.0,327.0
1717674996963.0,140.0,73.0,19.0,214.0,391.0,270.0
1717674997114.0,193.0,88.0,28.0,210.0,291.0,307.0
1717674997149.0,170.0,78.0,24.0,223.0,255.0,270.0
1717674997237.0,167.0,108.0,19.0,258.0,230.0,299.0
1717674997282.0,148.0,97.0,28.0,339.0,348.0,345.0
1717674997349.0,131.0,113.0,32.0,277.0,312.0,319.0
1717674997350.0,127.0,109.0,31.0,268.0,313.0,307.0
1717674997387.0,115.0,129.0,28.0,236.0,276.0,357.0
1717674997427.0,143.0,111.0,89.0,284.0,391.0,412.0
1717674997518.0,136.0,83.0,63.0,216.0,344.0,403.0
1717674997612.0,129.0,127.0,51.0,167.0,307.0,295.0
1717674997654.0,139.0,124.0,51.0,284.0,356.0,280.0
1717674997704.0,155.0,134.0,46.0,255.0,409.0,335.0
1717674998081.0,152.0,67.0,38.0,265.0,374.0,313.0
1717674998156.0,126.0,52.0,30.0,207.0,288.0,247.0
1717674998195.0,156.0,46.0,25.0,180.0,251.0,268.0
1717674998365.0,147.0,27.0,18.0,186.0,238.0,308.0
1717674998381.0,147.0,27.0,18.0,184.0,236.0,307.0
1717674998420.0,128.0,23.0,16.0,295.0,302.0,263.0
1717674998625.0,135.0,13.0,22.0,209.0,302.0,246.0
1717674998721.0,133.0,12.0,16.0,243.0,251.0,305.0
1717674998841.0,113.0,7.0,15.0,259.0,235.0,291.0
1717674998873.0,143.0,7.0,13.0,240.0,259.0,351.0
1717674998924.0,128.0,7.0,12.0,208.0,225.0,299.0
1717674999183.0,137.0,14.0,43.0,233.0,340.0,387.0
1717674999365.0,137.0,7.0,27.0,188.0,220.0,344.0
1717674999621.0,171.0,4.0,22.0,184.0,271.0,348.0
1717674999669.0,155.0,3.0,22.0,165.0,334.0,383.0
1717674999864.0,113.0,4.0,47.0,210.0,395.0,523.0
1717674999882.0,108.0,3.0,44.0,194.0,363.0,472.0
1717674999916.0,148.0,3.0,39.0,174.0,321.0,412.0
1717674999951.0,138.0,3.0,35.0,230.0,417.0,478.0
1717674999969.0,135.0,3.0,34.0,225.0,408.0,467.0
1717675000031.0,119.0,2.0,28.0,208.0,328.0,367.0
1717675000193.0,127.0,23.0,28.0,252.0,351.0,417.0
1717675000194.0,123.0,22.0,70.0,244.0,336.0,413.0
1717675000288.0,99.0,16.0,51.0,183.0,321.0,512.0
1717675000289.0,137.0,15.0,50.0,179.0,312.0,657.0
1717675000386.0,184.0,17.0,38.0,240.0,299.0,465.0
1717675000515.0,120.0,9.0,37.0,235.0,198.0,376.0
1717675000532.0,117.0,9.0,35.0,225.0,388.0,361.0
1717675000657.0,124.0,10.0,26.0,287.0,321.0,519.0
1717675000885.0,121.0,3.0,20.0,294.0,416.0,462.0
1717675000926.0,108.0,3.0,49.0,259.0,362.0,449.0
1717675000962.0,137.0,6.0,41.0,220.0,325.0,472.0
1717675000963.0,139.0,6.0,41.0,219.0,323.0,468.0
1717675001064.0,115.0,32.0,43.0,206.0,396.0,582.0
1717675001187.0,120.0,24.0,29.0,152.0,302.0,489.0
1717675007519.0,57.0,213.0,62.0,393.0,523.0,339.0
1717675007612.0,78.0,157.0,48.0,287.0,460.0,467.0
1717675007695.0,63.0,115.0,91.0,321.0,468.0,616.0
1717675007712.0,63.0,115.0,90.0,319.0,465.0,611.0
1717675007817.0,132.0,129.0,65.0,289.0,438.0,539.0
1717675007819.0,185.0,126.0,63.0,279.0,451.0,696.0
1717675007820.0,179.0,123.0,62.0,271.0,435.0,664.0
1717675007837.0,178.0,122.0,62.0,269.0,431.0,657.0
1717675007937.0,248.0,135.0,56.0,225.0,369.0,610.0
1717675008026.0,178.0,99.0,44.0,335.0,422.0,480.0
1717675008067.0,215.0,92.0,40.0,303.0,395.0,590.0
1717675008068.0,210.0,89.0,46.0,390.0,385.0,573.0
1717675008226.0,175.0,168.0,87.0,240.0,265.0,485.0
1717675008344.0,295.0,129.0,105.0,211.0,209.0,535.0
1717675008374.0,254.0,113.0,92.0,187.0,243.0,440.0
1717675008388.0,245.0,110.0,89.0,180.0,236.0,422.0
1717675008567.0,227.0,75.0,66.0,368.0,227.0,684.0
1717675008676.0,156.0,96.0,83.0,299.0,252.0,546.0
1717675008736.0,151.0,83.0,69.0,248.0,287.0,545.0
1717675008824.0,186.0,190.0,65.0,248.0,287.0,591.0
1717675008826.0,180.0,185.0,63.0,240.0,408.0,568.0
1717675008870.0,179.0,164.0,56.0,285.0,352.0,483.0
1717675009146.0,220.0,162.0,60.0,180.0,385.0,500.0
1717675009330.0,144.0,108.0,35.0,404.0,359.0,334.0
1717675009379.0,177.0,91.0,44.0,327.0,302.0,659.0
1717675009448.0,248.0,156.0,59.0,308.0,345.0,638.0
1717675009545.0,231.0,148.0,89.0,263.0,321.0,582.0
1717675009693.0,175.0,180.0,52.0,185.0,240.0,464.0
1717675009760.0,164.0,179.0,43.0,236.0,215.0,380.0
1717675009828.0,145.0,172.0,52.0,240.0,201.0,505.0
1717675009918.0,164.0,164.0,88.0,254.0,409.0,424.0
1717675010003.0,156.0,179.0,67.0,199.0,300.0,359.0
1717675010173.0,262.0,152.0,42.0,277.0,449.0,738.0
1717675010225.0,225.0,239.0,39.0,263.0,387.0,711.0
1717675010225.0,222.0,236.0,39.0,259.0,382.0,753.0
1717675010401.0,127.0,167.0,78.0,219.0,308.0,348.0
1717675010551.0,201.0,288.0,70.0,368.0,458.0,423.0
1717675010619.0,196.0,228.0,65.0,347.0,360.0,523.0
1717675010774.0,164.0,143.0,68.0,271.0,444.0,421.0
1717675010793.0,161.0,141.0,67.0,263.0,432.0,411.0
1717675010793.0,157.0,137.0,65.0,257.0,417.0,398.0
1717675010907.0,271.0,167.0,60.0,233.0,384.0,370.0
1717675010952.0,221.0,148.0,91.0,252.0,422.0,305.0
1717675010984.0,205.0,147.0,83.0,233.0,387.0,286.0
1717675011038.0,176.0,193.0,64.0,319.0,359.0,306.0
1717675011129.0,228.0,163.0,54.0,239.0,281.0,440.0
1717675011163.0,208.0,149.0,49.0,220.0,259.0,395.0
1717675011196.0,187.0,135.0,44.0,199.0,350.0,348.0
1717675011197.0,178.0,129.0,43.0,191.0,332.0,331.0
1717675011213.0,175.0,127.0,41.0,188.0,323.0,324.0
1717675011302.0,188.0,113.0,78.0,183.0,300.0,350.0
1717675011333.0,327.0,104.0,71.0,167.0,275.0,568.0
1717675011925.0,156.0,105.0,71.0,175.0,382.0,547.0
1717675011926.0,153.0,237.0,71.0,171.0,370.0,526.0
1717675011941.0,225.0,225.0,68.0,163.0,444.0,494.0
1717675011942.0,217.0,216.0,66.0,246.0,423.0,472.0
1717675011985.0,192.0,192.0,60.0,304.0,369.0,412.0
1717675012245.0,120.0,161.0,63.0,199.0,275.0,448.0
1717675012446.0,219.0,188.0,36.0,295.0,299.0,437.0
1717675012553.0,265.0,177.0,56.0,259.0,409.0,463.0
1717675012718.0,177.0,103.0,52.0,169.0,353.0,671.0
1717675012750.0,233.0,235.0,56.0,227.0,327.0,600.0
1717675012881.0,220.0,150.0,39.0,270.0,251.0,459.0
1717675013190.0,182.0,151.0,49.0,199.0,247.0,486.0
1717675013261.0,175.0,120.0,38.0,211.0,347.0,459.0
1717675013312.0,156.0,110.0,34.0,192.0,308.0,401.0
1717675013315.0,143.0,103.0,31.0,206.0,283.0,364.0
1717675013423.0,159.0,133.0,24.0,185.0,231.0,445.0
1717675013742.0,135.0,154.0,79.0,252.0,327.0,271.0
1717675013782.0,172.0,135.0,69.0,297.0,305.0,339.0
1717675013869.0,155.0,103.0,52.0,212.0,299.0,370.0
1717675014051.0,195.0,121.0,63.0,240.0,393.0,416.0
1717675014053.0,188.0,118.0,61.0,231.0,380.0,398.0
1717675014242.0,172.0,78.0,38.0,222.0,369.0,419.0
1717675014339.0,163.0,139.0,56.0,278.0,355.0,384.0
1717675014376.0,147.0,139.0,81.0,312.0,315.0,337.0
1717675014403.0,211.0,127.0,73.0,299.0,380.0,306.0
1717675014507.0,206.0,120.0,52.0,244.0,271.0,583.0
1717675014524.0,190.0,112.0,49.0,288.0,337.0,526.0
1717675014735.0,235.0,167.0,50.0,295.0,231.0,429.0
1717675015092.0,184.0,105.0,95.0,391.0,523.0,547.0
1717675020986.0,38.0,0.0,7.0,105.0,279.0,63.0
1717675021045.0,30.0,0.0,7.0,140.0,309.0,131.0
1717675021095.0,26.0,0.0,7.0,172.0,328.0,112.0
1717675021111.0,24.0,0.0,6.0,159.0,432.0,104.0
1717675021241.0,19.0,0.0,11.0,172.0,334.0,185.0
1717675021536.0,127.0,2.0,19.0,134.0,359.0,283.0
1717675021750.0,134.0,1.0,13.0,250.0,432.0,278.0
1717675021752.0,131.0,1.0,13.0,245.0,423.0,272.0
1717675021753.0,131.0,1.0,13.0,243.0,419.0,271.0
1717675021756.0,159.0,1.0,17.0,226.0,387.0,253.0
1717675021846.0,175.0,3.0,48.0,171.0,307.0,465.0
1717675021871.0,159.0,3.0,44.0,159.0,385.0,418.0
1717675021912.0,220.0,3.0,39.0,147.0,467.0,376.0
1717675021914.0,206.0,3.0,39.0,140.0,438.0,357.0
1717675022024.0,153.0,2.0,37.0,155.0,556.0,588.0
